"z0","a","beta1","beta2","l.quantile","u.quantile"
0.279319034447454,0.0175115046638506,0.087983484138747,0.995472827536055,-24.1942526297924,28.3534298350073
-0.0162938047248593,0,0.0231552851081938,0.973033629171928,0,0
0,0,0.025,0.975,0,0
-0.161118588510745,0,0.0112387332800715,0.94926065209044,0,0.0688196917332304
-0.0325919366966631,0,0.0214260919655964,0.970939230404595,0,0
0.381273924795289,0,0.115572198900902,0.996760614350709,-0.0682380728292359,0
-0.0137868922630843,0,0.0234314173839337,0.973344318643377,0,0
-0.0514085146963621,0,0.0195667193444307,0.96835487532016,0,0.0122429257605423
-0.213419207729192,0,0.00849781172998562,0.937377540597612,0,0.140479763897749
-0.214701568001745,0,0.00843871396258693,0.937061017939051,0,0.0464976473650831
0.0351000017727088,0,0.0293947664092609,0.978830063484484,0,0
-0.219834563805069,0,0.00820575582388543,0.935781556967497,0,0.0507910177148562
-0.128188248098485,0,0.013334096310662,0.9557709097225,0,0.0487172085575463
0.0627067779432138,0,0.0332861646681509,0.981482478049915,-0.0346275270263058,0
0.205732333893164,0,0.0607510630499671,0.991140266293873,-0.0498456900800335,0
-0.00375995127114593,0,0.0245637258607085,0.974557248141492,0,0
0.554846000383363,0,0.197586944484385,0.998928472684461,-0.118252945050949,0
0.291067101912652,0,0.0841279244936404,0.994490539291278,-0.132941705319948,0
-0.0137868922630843,0,0.0234314173839337,0.973344318643377,-0.00533446470999171,0.0168509434511166
0.00250663089957177,0,0.0252944434093924,0.975291564436953,0,0
-0.0238152196094095,0,0.0223432038037376,0.972083287109655,-0.0111330463777629,0.0655502139050894
0.587303337542575,0,0.216122051645588,0.999139471003285,-0.0707986791171678,0
-0.118085389425553,0,0.0140411495124234,0.957627409195275,0,0.0934113258019781
0.10043372051147,0,0.0392805559561962,0.984645818201952,-0.0381486517095038,0
0.0627067779432138,0,0.0332861646681509,0.981482478049915,-0.0498954309719076,0
-0.212137198317524,0,0.00855725605403088,0.937692735028316,0,0.128688167342192
-0.209574222889649,0,0.00867719094647688,0.938319156741715,0,0.139677276647587
-0.0551738021383168,0,0.0192115875222247,0.967815569884674,-0.0033265472248035,0.0273327859736052
-0.0828132919318812,0,0.0167686828082592,0.963620334035513,0,0.0344712080071812
0.159849030337808,0,0.0504749437656941,0.988686129990694,-0.0404460130022645,0
0.354452227350296,0,0.105456379641913,0.996194637265007,-0.0955748450414785,0
0.0740130516888602,0,0.0349978976717307,0.982484076587061,-0.0302772491298989,0
0.293683190788833,0,0.084938738752742,0.994572469289524,-0.100193386953702,0
-0.14843434105449,0,0.0120092663510206,0.951853319959626,0,0.0496701183752348
0.00751995569854052,0,0.0258920586067781,0.975866147055384,0,0
0.0727563581760375,0,0.0348041394075383,0.982375083320096,-0.0313701551408435,0
-0.339809491013167,0,0.00415040512534647,0.899788086456261,0,0.0609470441676457
0.0979147342114995,0,0.0388546672445406,0.984450101530202,-0.0865315292021256,0.0185450846303337
