"alpha","lambda","deviance"
0.95,0.016647796944852,0.719527200487746
0.2,0.0353764638585825,0.661606665214072
0.85,0.00832123395191293,0.615744902776501
0.2,0.118164401400088,0.906427745528385
0.1,0.155001325879188,0.871976924126302
0.25,0.0123144128691125,0.601300356377477
0.15,0.0608712089877158,0.630741321822291
0.45,0.0450265702903446,0.786595714939027
0.2,0.0627344700335799,0.725798334039169
0.15,0.0707755833266999,0.626505849497214
0.1,0.209545564765974,0.955045855916543
0.55,0.032317034495169,0.722427279794661
0.65,0.0353764638585825,0.661137550138407
0.1,0.17486892372948,0.918953629568822
0.35,0.0608712089877158,0.914104876441306
0.1,0.310101916894951,1.21933589577522
0.15,0.0956811788267799,0.793091235347308
0.3,0.121781400795994,1.01624700855917
0.2,0.0751747633205364,0.910406712532273
0.1,0.107945300904381,0.863100982226577
0.4,0.0375753497560111,0.789831130487333
0.1,0.145930745518084,0.888440167315022
0.15,0.150397669668919,0.872078396101708
0.1,0.180221642348607,0.948626232234923
0.15,0.0798473820302198,0.752900904881538
0.1,0.118164401400088,1.0401752913893
0.65,0.0112494371136055,0.511915966624114
0.3,0.0590632881993397,0.792064629826568
0.35,0.0590632881993397,0.787511909249314
1,0.0686734951550717,0.888579796369478
0.1,0.180221642348607,0.992713965509373
0.1,0.203321903548256,1.03851235469908
0.1,0.092839375696302,0.771039119842111
0.3,0.082291501656317,0.810295158718696
0.35,0.0375753497560111,0.954414910538487
1,0.0199490677847077,0.638784734471816
0.15,0.0399109112468295,0.801356107603696
0.9,0.0286453595550447,0.889874936068379
1,0.0269690510825659,0.765838777070611
0.1,0.0176825698399504,0.487319215228804
0.45,0.0729420161872262,1.03088988302346
0.3,0.0105911271102725,0.543818188950897
1,0.0353764638585825,0.686802183883846
0.1,0.185738207098907,0.991616550079304
0.1,0.0729420161872262,0.75196658664977
0.1,0.0450265702903446,0.740516145228191
0.4,0.0313571942118213,0.666253641117458
0.55,0.0507979389288537,0.838334232752253
