"z0","a","beta1","beta2","l.quantile","u.quantile"
0.23526894111328,0.0188190770008383,0.0756140345404198,0.994216730706472,-25.7267402054569,27.234620767854
-0.0175472983721508,0,0.0230182455113171,0.972877149747283,0,0
0.0037599512711458,0,0.0254427518585081,0.975436274139291,0,0
-0.162388406424307,0,0.0111640154526779,0.948995091732183,0,0.0667730651702574
-0.0225615683902247,0,0.0224768670220223,0.972243598307558,0,0
0.379926467041307,0,0.1150481072083,0.99673409650963,-0.0668225893852647,0
0.00250663089957177,0,0.0252944434093924,0.975291564436953,0,0
-0.0488987312126565,0,0.0198065192980532,0.968710189141359,0,0.0163113800484424
-0.203172764042833,0,0.00898320859591856,0.939862272909466,0,0.134949130695373
-0.205732333893164,0,0.0088597337061272,0.939248936950033,0,0.0433218914317622
0.0413711651324276,0,0.0302438604175396,0.979459240330868,-0.00472746576829705,0
-0.243006967409982,0,0.00722299236866317,0.929752479709633,0,0.0563750768852085
-0.125661346855074,0,0.0135079956361229,0.956241292391007,0,0.0515700279076931
0.0664745739166293,0,0.0338487693257377,0.98182154513425,-0.0416413707485975,0
0.194224627598883,0,0.0580315679030865,0.990573204513736,-0.043952277173411,0
-0.00375995127114593,0,0.0245637258607085,0.974557248141492,0,0
0.527278791439508,0,0.182625062776613,0.998713075446842,-0.119383978609933,0
0.281926329587061,0,0.0813404869412025,0.994195576980267,-0.112253077707707,0
-0.0451346284814213,0,0.0201708378023541,0.969236888944485,0,0.0313220586235241
0.0037599512711458,0,0.0254427518585081,0.975436274139291,0,0
-0.0576844251079842,0,0.018977849167838,0.967451772332291,-0.000200691006001679,0.0682398576241502
0.593270706171658,0,0.219636167793946,0.9991738289397,-0.0709858959662227,0
-0.115561597105383,0,0.0142227421795501,0.958081203262593,0,0.0945703303975951
0.0714997795553134,0,0.0346112803432036,0.982265521789558,-0.0301648429955807,0
0.0639626083842691,0,0.0334728224813745,0.981596084746745,-0.0530222593960177,0
-0.209574222889649,0,0.00867719094647688,0.938319156741715,0,0.125892115993232
-0.19167090224842,0,0.00955685519005733,0.942558756957922,0,0.133620781808537
-0.0777838416469152,0,0.0171923294142588,0.964415398754559,-0.00126871740576897,0.0270264178265587
-0.0815557379307184,0,0.0168737644974021,0.963820481107708,0,0.0345458999489125
0.144633811748821,0,0.0473908340046913,0.987751117759434,-0.0397222473839434,0.00479055362196357
0.407010876264466,0,0.125909527704022,0.997231294705438,-0.0970069332806157,0.00120989426230849
0.0878448378958718,0,0.0371895513842032,0.983646172933465,-0.031086423899302,0
