"alpha","lambda","deviance"
0.45,0.0156735783104817,0.572179068275182
0.35,0.0343257562171084,0.723919229088707
0.1,0.209545564765974,0.808375824413141
0.55,0.0152080612207607,0.566233264872897
0.45,0.00673794699908547,0.422430389922828
0.1,0.164635704004738,0.958907755181151
0.1,0.111249494752408,0.738316748805788
1,0.0277945707849297,0.711834131774965
0.1,0.145930745518084,0.918143865688844
0.25,0.0751747633205364,0.756841843167042
0.1,0.107945300904381,0.788087941865162
0.25,0.0686734951550717,0.843899117425858
0.8,0.0211890369346485,0.666785055871839
0.1,0.0798473820302198,0.813599390346277
0.75,0.0156735783104817,0.664541024638439
1,0.0295221908763096,0.859023271516837
0.1,0.0375753497560111,0.571245885480701
0.35,0.0608712089877158,0.864127200975722
0.65,0.0295221908763096,0.559837660498532
0.1,0.133310354468046,0.805360824747051
0.1,0.203321903548256,1.03715215763232
0.95,0.016647796944852,0.582713612829898
0.25,0.0464048286795906,0.704576965425155
0.65,0.0399109112468295,0.752901141632085
0.25,0.0798473820302198,0.821726082534383
0.6,0.032317034495169,0.771154530616971
0.15,0.169675184887932,1.07482484742746
1,0.0353764638585825,0.711061903033844
0.1,0.0686734951550717,0.695513622046727
0.1,0.092839375696302,0.725191925294166
0.1,0.159745899502266,0.996911722785139
0.95,0.0246367120699603,0.888318779175274
0.1,0.222570235323057,1.08457918806097
0.6,0.0686734951550717,0.804129749318042
0.8,0.0225060785327557,0.553024708130886
0.25,0.082291501656317,0.940583326963721
0.1,0.17486892372948,0.995566597967441
0.1,0.0874064736669068,0.878829226581401
1,0.0152080612207607,0.578196370630837
0.35,0.107945300904381,0.829090113081731
0.55,0.023904983151655,0.642448121524548
0.1,0.349849836098401,1.1638869871346
1,0.030425861908365,0.632148475821659
0.1,0.283283665246289,1.12084277934391
0.5,0.0774758545992635,0.891435090368712
0.95,0.0211890369346485,0.778087002278558
0.9,0.0364593335459814,0.853899636801353
0.1,0.0590632881993397,0.643897901049328
0.4,0.104739244104163,0.904562649489401
0.15,0.104739244104163,0.831303356657334
0.45,0.092839375696302,1.06322174529088
0.1,0.0986099692400979,0.886097475013131
0.1,0.125509116147594,0.881353418552927
0.1,0.101628409607465,0.700655853759218
0.25,0.0492892018539146,0.633970567744497
0.15,0.111249494752408,0.849557685481738
0.65,0.00760159652308213,0.565526600207204
0.75,0.032317034495169,0.762662764725918
0.7,0.0295221908763096,0.635130983030479
0.1,0.107945300904381,0.843085981435597
0.1,0.0986099692400979,0.729401854151145
0.7,0.00673794699908547,0.47408866061359
0.1,0.0798473820302198,0.647394409457554
0.1,0.145930745518084,0.914223620167693
0.1,0.159745899502266,1.0137180785537
0.1,0.274869926864496,1.10396765740161
0.1,0.150397669668919,0.940350417475312
0.1,0.180221642348607,0.955026387705898
0.15,0.0187816608516126,0.378533204525605
1,0.038725527100102,0.767264138084114
0.1,0.0608712089877158,0.733690827187452
0.1,0.164635704004738,0.978822057328749
0.1,0.0646547652961579,0.738510005646622
0.1,0.191423633292527,0.892172511937076
0.6,0.0627344700335799,0.6132673424545
0.1,0.159745899502266,0.776469572610088
0.1,0.0161533448273766,0.579908373731823
0.1,0.185738207098907,0.94805802048987
0.15,0.164635704004738,0.916637161998002
0.1,0.125509116147594,0.852521086052513
0.75,0.0556069416231776,0.910337629053447
0.1,0.209545564765974,1.11414056976616
0.1,0.266706082854464,0.903710779090048
0.1,0.150397669668919,0.857125930566599
0.1,0.0874064736669068,0.828512116057609
1,0.00673794699908547,0.262332690414036
0.1,0.092839375696302,0.741807473719541
0.1,0.121781400795994,0.79485089435948
0.65,0.0126913556994469,0.569297700035178
0.15,0.121781400795994,0.858354487657011
0.95,0.0590632881993397,0.714358627616171
0.1,0.11465482961254,0.752827687347719
0.95,0.0353764638585825,0.755847610720862
0.1,0.274869926864496,1.13456543051418
1,0.0225060785327557,0.581263486858882
1,0.0211890369346485,0.657645550774149
0.1,0.0751747633205364,0.827049128091986
0.1,0.0751747633205364,0.715879456171261
0.15,0.191423633292527,1.03303844076201
0.25,0.101628409607465,0.88103186498697
0.1,0.185738207098907,1.01384439109944
0.1,0.0627344700335799,0.677599090663573
1,0.0277945707849297,0.772288274566663
0.15,0.082291501656317,0.803954284572891
1,0.0199490677847077,0.503357848160263
